Round,Start,End, Duration (minutes), ICO, Key Count, Pot (ETH), Team, Player, Average Duration, Average Pot
58,Sun Aug 05 2018 17:16:51 GMT+0200,Sun Aug 05 2018 18:02:40 GMT+0200,45.82,0.2131,299.99,2.8074,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,213.57,94.86
59,Sun Aug 05 2018 18:03:10 GMT+0200,Sun Aug 05 2018 21:47:49 GMT+0200,224.65,3.2106,459.71,3.5994,Bear,,0xeb711b931879F3D5Cb8E4Db32c50DbeD202b350f,213.76,93.31
60,Sun Aug 05 2018 21:48:34 GMT+0200,Sun Aug 05 2018 23:04:49 GMT+0200,76.25,2.2442,280.03,1.9938,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,211.46,91.79
61,Sun Aug 05 2018 23:05:47 GMT+0200,Sun Aug 05 2018 23:32:50 GMT+0200,27.05,2.4595,257.22,1.0885,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,208.44,90.31
62,Sun Aug 05 2018 23:33:03 GMT+0200,Mon Aug 06 2018 00:28:38 GMT+0200,55.58,1.8836,237.37,0.9087,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,205.97,88.86
63,Mon Aug 06 2018 00:30:05 GMT+0200,Mon Aug 06 2018 01:15:20 GMT+0200,45.25,1.5151,248.16,0.9145,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,203.42,87.47
64,Mon Aug 06 2018 01:16:21 GMT+0200,Mon Aug 06 2018 02:01:35 GMT+0200,45.23,1.7642,214.46,0.7690,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,200.95,86.11
65,Mon Aug 06 2018 02:02:09 GMT+0200,Mon Aug 06 2018 02:12:07 GMT+0200,9.97,1.2759,161.39,0.4812,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,198.01,84.80
66,Mon Aug 06 2018 02:12:42 GMT+0200,Mon Aug 06 2018 02:41:57 GMT+0200,29.25,1.3857,190.60,0.5169,Snek,dann126,0xc95F3D88d39645ecA7DeBabAf5C5AcbBA0bd8e43,195.46,83.52
67,Mon Aug 06 2018 02:43:43 GMT+0200,Mon Aug 06 2018 03:41:28 GMT+0200,57.75,0.6401,225.47,0.8553,Snek,team just,0x399517C643e1425Ff0372e53b4A1DD31B2C7a9F0,193.40,82.28
68,Mon Aug 06 2018 03:42:31 GMT+0200,Mon Aug 06 2018 03:54:29 GMT+0200,11.97,1.1041,157.76,0.4333,Bear,amazing,0x8a6B2C028f46F121B9bc854946F01db1184dE3C6,190.73,81.08
69,Mon Aug 06 2018 03:55:55 GMT+0200,Mon Aug 06 2018 04:25:25 GMT+0200,29.50,0.6647,148.08,0.4244,Snek,,0x602dC1d22884E333FCA32eB03105773c3b97b22B,188.40,79.91
70,Mon Aug 06 2018 04:25:59 GMT+0200,Mon Aug 06 2018 05:29:33 GMT+0200,63.57,0.4445,238.30,0.9068,Bear,bad advice,0xf6Bc47E36B7Dd79d21a006470b20A156308E45eb,186.61,78.78
71,Mon Aug 06 2018 05:29:58 GMT+0200,Mon Aug 06 2018 05:36:50 GMT+0200,6.87,0.4322,149.29,0.4856,Snek,ya boboyaga,0xDC27593b4B922544d9187719b8223F848231e00d,184.08,77.68
72,Mon Aug 06 2018 05:38:06 GMT+0200,Mon Aug 06 2018 06:13:33 GMT+0200,35.45,1.3103,188.63,0.5284,Bear,bad advice,0xf6Bc47E36B7Dd79d21a006470b20A156308E45eb,182.02,76.61
73,Mon Aug 06 2018 06:14:00 GMT+0200,Mon Aug 06 2018 07:57:42 GMT+0200,103.70,0.1021,234.87,0.7698,Snek,,0x80416D283E2742A7747584d9b96cd0f16889D9a5,180.94,75.57
74,Mon Aug 06 2018 07:57:59 GMT+0200,Mon Aug 06 2018 08:17:17 GMT+0200,19.30,1.9638,206.82,0.5696,Snek,wheelbarrow,0xEFBB47e627a89D33308BdD5Eb31fb8227cAb795E,178.76,74.56
75,Mon Aug 06 2018 08:18:09 GMT+0200,Mon Aug 06 2018 08:24:55 GMT+0200,6.77,0.0639,132.97,0.3143,Snek,,0xE8f0fc5771D7b7E3B83660b2dc6b7fDb0836A247,176.47,73.57
76,Mon Aug 06 2018 08:25:27 GMT+0200,Mon Aug 06 2018 09:04:34 GMT+0200,39.12,0.9471,215.06,0.5992,Snek,chenyisi,0x4877d0eDB5Ab067Eb47294FC1a5Ad9d13A187342,174.66,72.61
77,Mon Aug 06 2018 09:04:54 GMT+0200,Mon Aug 06 2018 09:36:11 GMT+0200,31.28,1.2316,173.99,0.5057,Bear,,0x4523E948188C09abc65EE730F1517bfBBDBCFa76,172.80,71.67
78,Mon Aug 06 2018 09:36:45 GMT+0200,Mon Aug 06 2018 10:09:42 GMT+0200,32.95,1.3228,185.75,0.5281,Snek,,0x607c28DdF0453FaE254Bf36E7D12C8A57B0F9051,171.00,70.76
79,Mon Aug 06 2018 10:10:27 GMT+0200,Mon Aug 06 2018 11:54:44 GMT+0200,104.28,1.1216,220.50,0.6788,Snek,you are the one that,0x7d7AB4E5AE1d56DF3F513B4281bC9CbD21B22078,170.16,69.87
80,Mon Aug 06 2018 11:55:25 GMT+0200,Mon Aug 06 2018 12:21:36 GMT+0200,26.18,1.5810,186.42,0.4921,Snek,,0x348E3310DD621c94d140674E10B617786385A9e3,168.36,69.00
81,Mon Aug 06 2018 12:21:57 GMT+0200,Mon Aug 06 2018 13:20:35 GMT+0200,58.63,1.0539,188.13,0.4669,Snek,,0x348E3310DD621c94d140674E10B617786385A9e3,167.01,68.16
